,industry,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,trailingPE,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
0,,3.893333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Advertising Agencies,7.055,0.0,0.039300002,0.0,0.5585449849999999,-0.123449995,-0.659395,-0.025009999,-0.83637,9.77,0.0,4.366079,0.05725500325,-0.8639999999999999,0.24729500000000001,4.0,10.25
2,Aerospace & Defense,15.136666666666665,0.0221,0.046549996999999996,0.0149,0.17820666666666665,-0.2460266666666667,-0.32232,0.182329985,0.34063,59.654,0.0,0.71106714,0.1531200003333333,-152.96133333333333,0.53769,5.0,31.8
3,Agricultural Inputs,6.369566666666667,0.0,0.034866666666666664,0.0,0.26880333333333334,-4.132903166666666,-0.023866666666666665,-0.21549333333333331,-0.352530015,9.341,8.052631,0.80057526,0.20707333333333333,-2.082333333333333,0.09780666666666667,3.0,6.23
4,Airlines,61.60333333333333,0.0,0.075850001,0.0,0.14627999900000002,-0.19391998566666666,-0.15236333333333332,-0.016180000666666666,0.0025400033333333274,124.94866666666665,22.392492,3.2807063333333333,0.008173333433333334,-16.554666666666666,0.7871366999999999,5.333333333333333,79.64
5,Apparel Manufacturing,25.24,0.17719999,0.0126,0.0195,0.35904,0.104169995,0.068909995,0.09014,0.19351,54.068,8.2054615,1.9531068,0.30803,7.658,0.41437,1.0,34.0
6,Apparel Retail,81.895,0.10545000199999999,0.0718,0.009600000000000001,0.34574499999999997,0.12599,0.08474000000000001,0.118424995,0.35928498,101.983,28.685949,6.73785915,0.1987,10.643,0.78344498,13.0,94.11
7,Asset Management,24.81,0.4093124975,0.01935,0.12893333333333332,0.84069374375,-0.2531687425,13.980592511875,0.07758124799999999,0.30502623900000003,27.989714285714285,21.540300000000002,1.6575146285714286,0.08904749937499999,8.455666666666668,0.54779875375,4.142857142857143,31.922857142857143
8,Auto & Truck Dealerships,51.346666666666664,0.1272,0.007566666499999999,0.01675,0.15563333333333332,0.011646666666666668,0.0037966666666666656,-0.018860000000000005,-0.8612533333333333,485.18699999999995,22.9888625,8.538652666666666,0.21312333183333332,3.5340000000000003,0.5102633366666667,4.0,62.25
9,Auto Manufacturers,4.055,0.0,0.15195,0.0,-0.044495,-32.1431425,0.0,-0.32972,-0.925685,0.838,0.0,1.5756255000000001,0.23261500499999999,-2.838,0.19870999499999997,6.5,6.9399999999999995
10,Auto Parts,23.275000000000002,0.0,0.0074499995,0.0,0.147615,0.035275,0.0303300015,0.036965,0.11793500000000001,50.9945,28.2016045,2.6420821,0.268555,16.1755,0.40426002699999997,1.0,65.0
11,Banks—Regional,65.12237428571429,0.19174375068750005,0.01662727250606061,0.02465555531851851,0.0,0.4181102858285714,0.30476314028571416,0.012879428571428576,0.12238914265714286,0.0,16.175195551724137,1.6761212153125002,0.1100563637757576,0.0,0.5459733363636363,4.481481481481482,72.71000000000001
12,Biotechnology,17.280613235294112,0.005428571428571429,0.07048548442741938,0.0162,-0.04537426661764705,-673.309147245147,-0.18293485073529409,-0.2861983924285715,-1.2712643501818177,25.32683928571429,19.6441182,4.264666414999999,0.15189348515763632,-11.940295081967216,0.5755222668181816,5.147540983606557,73.98377049180328
13,Broadcasting,14.461666666666666,0.1741,0.10706666708333336,0.0143,0.3100300066666667,0.13132833333333335,-0.040278333333333326,0.06903999943333332,-1.19111,99.95875000000001,183.860009,0.9482797233333334,0.41038166000000004,8.903333333333332,0.4794850016666666,7.75,17.7425
14,Building Materials,31.65,0.0,0.0074,0.0,0.29906,0.14556,0.15975,0.09297,0.30461,14.615,20.018976,5.150529,0.26555002,14.883,0.32257,0.0,0.0
15,Building Products & Equipment,48.120000000000005,0.0,0.0325499995,0.0,0.289159995,0.0353299975,-0.01941,0.068720005,0.11685,39.884,37.473522,3.1970916,0.12304999500000001,151.69,0.97211,5.5,64.875
16,Capital Markets,36.025000000000006,0.0,0.0159499995,0.0,0.42692,0.05131,0.043515,0.00953,0.183255,1135.9915,14.565696249999998,1.89128235,0.40382,0.0,0.4043549985,1.0,80.0
17,Communication Equipment,19.639999999999997,0.0,0.060219999999999996,0.0,0.326344,-0.40969801720000004,-0.501232002,-0.1564439996,-0.5192539820000001,22.544999999999998,38.500417,1.483647575,0.06551399903999999,2.3842000000000003,0.44587401,3.2,29.65
18,Computer Hardware,38.21,0.09926,0.040480000020000004,0.0311,0.35074,-0.033889995799999996,-0.19290599,-0.0031500000000000026,0.07695798200000001,176.2434,22.875473999999997,11.69199118,0.07837999864,-79.3246,0.5842140199999999,7.2,42.912
19,Confectioners,9.37,0.0,0.0028,0.0,0.18163,-0.02851,-0.03832,-0.015859999,-0.04696,10.337,0.0,3.0003202,0.18462999,65.168,0.32814,0.0,0.0
20,Conglomerates,1.68,0.0,0.0041,0.0,0.21118,0.023759998,-0.07232,0.0127,-0.70805,1028.583,0.0,5.384615,0.06919,8.1,0.48560002,0.0,0.0
21,Consulting Services,10.14,0.25455,0.0054499999950000004,0.031,0.627315,0.35398,0.287675,0.166939999,0.27594501,9.147,16.427273,1.7594936,0.29319498349999995,6.1745,0.38797500002,3.0,20.0
22,Consumer Electronics,32.11,0.0,0.0626,0.0,0.47182,0.09799,0.09238,0.107559994,0.3659,7.852,28.41593,7.1658115,0.01145,17.34,0.80300003,7.0,46.43
23,Credit Services,18.96833333333333,0.00626,0.013599999625000001,0.0186,0.5771183166666667,0.07886999733333339,0.19522166666666663,0.1031083345,6.837168843333334,131.42766666666668,10.445891325,6.795567393333333,0.292974995,-213.56500000000003,0.30505166331666667,9.0,24.72
24,Diagnostics & Research,24.542857142857144,0.0,0.04374,0.099300005,0.4084971500000001,-77.21312871285714,-0.042518571142857134,-0.09494166833333334,-0.26202401399999997,80.90828571428573,53.95213,2.1533512,0.048929999683333336,-3.907142857142859,0.5032749950000001,4.5,35.515
25,Drug Manufacturers—General,49.13,0.6913,0.0,0.038599998,0.68402,0.22608,0.16038,0.0,0.0,34.166,17.83303,1.9462436,0.0,12.161,0.095699996,4.0,64.63
26,Drug Manufacturers—Specialty & Generic,6.907342857142857,0.0,0.11238571428571428,0.0,0.584175712857143,-1.8416214257142858,-0.18309142714285714,-0.16579428714285713,-0.9409743,50.15042857142857,15.90029,1.791900767142857,0.06374857142857142,-2.2264285714285714,0.4022485911428571,5.0,14.857999999999999
27,Education & Training Services,57.8,1.5287,0.0879,0.040599998,0.46196997,0.083739996,0.03489,0.02704,0.02313,18.074,22.325222,0.81264234,0.020610001,7.166,0.99161005,5.0,95.6
28,Electronic Components,24.305,0.0,0.02665,0.0,0.084245,0.026345,0.0129850005,0.0281749985,0.053854998200000004,55.8715,13.9529915,1.07579227,0.123350005,7.35,0.601869995,3.0,50.67
29,Electronic Gaming & Multimedia,14.379999999999999,0.0,0.069933332,0.0,0.5401275000000001,-2.3138624500000002,-0.009080000000000001,-0.12662500999999998,-0.2840025,10.4595,19.749716,2.6915710999999996,0.2147225,-9.32825,0.36710499750000003,4.0,10.276666666666666
30,Electronics & Computer Distribution,19.973333333333333,0.14763333333333334,0.01656666683333333,0.0399,0.33604000000000006,0.07928333,0.07845,0.048355,0.11078,41.126000000000005,18.577587,1.6736199,0.15219666666666667,16.483333333333334,0.70135,5.5,31.979999999999997
31,Engineering & Construction,34.364999999999995,0.0,0.0428499995,0.0,0.14352,0.06475500000000001,0.034615,0.05695,0.142725,91.2595,36.678932,4.1798108,0.030119999,14.663499999999999,0.9281649999999999,3.5,31.25
32,Entertainment,82.03333333333333,0.0,0.0309,0.0,0.5564533333333332,0.16950999999999997,0.09537666299999999,0.027520001,0.07276,119.031,270.78073,12.781813,0.24592000005,154.945,0.54370502,13.5,242.0
33,Farm & Heavy Construction Machinery,51.9,0.065799996,0.0224,0.0023999999,0.21771999,0.09191,0.06599,0.121750005,0.27757,35.602,0.0,0.0,0.08906999,18.425,0.82023,6.0,49.5
34,Farm Products,3.07,0.0,0.0046,0.0,0.15186,-0.25747,-0.25576,-0.086,-0.28462,73.165,0.0,1.5296463,0.02447,-8.673,0.72268,3.0,5.33
35,Financial Conglomerates,45.15833333333333,0.0962,0.0788,0.05893333333333333,0.5107200066666667,0.5000166666666667,0.36912664666666667,0.16543332666666666,0.9189066666666665,329.863,2.74772185,2.08254685,0.14500666666666667,0.0,0.18830333433333335,0.0,0.0
36,Food Distribution,24.11,0.41099998,0.11359999,0.035,0.15593,0.01284,0.00754,0.032309998,0.09332,99.2,10.806813,1.1650157,0.02881,7.445,0.84202003,6.0,22.67
37,Footwear & Accessories,50.67,0.32970002,0.0669,0.014400001,0.40058,0.10741,0.05051,0.08495,0.09852,16.069,197.15953,5.3202434,0.061539996,19.085,0.958,9.0,48.22
38,"Furnishings, Fixtures & Appliances",81.74,0.0,0.2465,0.0,0.61702996,0.112110004,0.09021,0.19044,0.0,0.0,10.423361,0.0,0.04745,8.306,1.02278,4.0,107.25
39,Gambling,35.96,0.0,0.059299998,0.0,0.39771001500000003,-0.227925,-0.32782,-0.079010005,-0.39194,0.0,0.0,0.0,0.267025,-0.673,0.44550500025,8.0,76.25
40,Gold,19.89,0.082600005,0.0315,0.013300001,0.57462,0.3713,0.16631001,0.090509996,0.09191,12.064,21.713972,1.2606959,0.0040700003,4.706,0.62827,4.0,11.75
