,industry,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,trailingPE,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
0,,9.4158,0.0582,0.0007,0.083100006,0.150494,0.126334,-0.000208,0.03453,0.029690001,657.22,0.0,0.0,0.00089,15.893,0.570600015,0.0,0.0
1,Advertising Agencies,28.65,0.0,0.0314499995,0.0,0.29047999999999996,-0.0342199975,0.5674050015000001,-0.04119750000000001,0.03302999333333334,17.297,7.4945107,1.9684332500000001,0.1900500045,55.2045,0.41990500000000003,2.0,81.0
2,Aerospace & Defense,12.625,0.0,0.063100003,0.0,0.60173,0.079679995,0.12524499,0.021634999499999998,0.059724994999999996,1.0175,16.773546,2.305785,0.44559001499999995,-156.91250000000002,0.170205,1.5,20.875
3,Agricultural Inputs,15.81,0.0,0.0041,0.0,0.46297002,0.20089,-0.03043,0.06746,-0.02999,235.101,0.0,10.038095,0.82435,17.098,0.02464,4.0,20.21
4,Airports & Air Services,9.5,0.0,0.0,0.0,0.20527,-0.39178002,-0.81967,0.0,0.0,0.144,0.0,0.0,0.15534,-30.072,0.55364,3.0,15.67
5,Aluminum,14.26,0.0,0.09,0.0,-0.01602,-0.043270003,-0.15325,-0.032390002,-0.52752,110.61,0.0,3.1465137,0.43978,213.933,0.59645003,2.0,17.0
6,Apparel Manufacturing,104.99,0.1058,0.021,0.010299999,0.4977,0.09997,0.06397,0.05766,0.09182999,23.441,42.626877,3.728338,0.4337,19.89,0.43775,12.0,124.52
7,Asset Management,20.97111111111111,0.32861110777777774,0.011944445011111112,0.07508888944444443,0.8380877622222221,0.5833866544444444,5.696318655555556,0.039306249825,0.41747375000000003,76.31062499999999,8.1657928,1.877593042857143,0.12981110888888892,6.501,0.3914188933333333,5.0,23.927500000000002
8,Auto & Truck Dealerships,113.78,0.0,0.053200003,0.0,0.28726,0.14647001,0.10863,0.11541,0.29268,79.356,7.6107025,1.8546047,0.08783,7.079,0.75685,4.0,165.75
9,Auto Manufacturers,23.94,0.0,0.041500002,0.0,0.1093,0.03063,0.014359999,0.04061,0.0,0.0,58.96552,0.0,0.02224,23.872,0.92658997,2.0,25.5
10,Auto Parts,3.87,0.0,0.0128,0.0,0.13222,-0.0102699995,-0.00368,-0.00457,-0.020569999,15.704,0.0,0.3922562,0.63797003,6.727,0.04304,1.0,6.0
11,Banks—Regional,34.82084615384614,0.21371875250000005,0.021325000083333327,0.02563947378421053,0.0,0.3696592311538462,0.2487944225961538,0.010269607966666669,0.09942098066666666,0.0,16.037553913953488,1.4641503997872336,0.1838879597979592,0.0,0.4401124488775511,3.4358974358974357,37.22025641025641
