,industry,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,trailingPE,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
0,,6.23375,0.0,0.0,0.0,0.28513750000000004,-3.0400074999999998,-0.11614875000000001,-0.38978666328333333,-0.59743249325,161.13225,0.0,0.32305655,0.287654995,-5.553333333333332,0.26312,1.0,9.0
1,Advertising Agencies,4.865,0.0,0.0314499985,0.0,0.422660005,-0.23748500000000003,0.032385002499999996,-0.01613,-0.029265,41.302,0.0,0.0,0.70801,-2.8505000000000003,0.13702,3.0,13.0
2,Aerospace & Defense,57.499,0.0,0.033049999999999996,0.0,0.250859994,-4.462502000000001,-0.0383839992,-0.049240000000000006,-0.1209049975,32.9884,72.27163,4.417662425,0.0393020008,-39.395799999999994,0.5162119940000001,4.5,92.1325
3,Airlines,102.285,0.0,0.09875,0.0,0.07468999500000001,-0.13123500000000002,-0.02762,-0.030325000000000005,0.11805,142.911,0.0,4.268076,0.08186,7.124,0.71921,15.5,144.325
4,Airports & Air Services,39.333333333333336,0.0,0.160799995,0.0,0.3535466733333334,0.14601333333333333,0.15275000000000002,0.060206666666666665,0.15588333000000001,99.882,5.4707723,1.0237352,0.13223,14.093333333333334,0.958585,7.0,105.57
5,Asset Management,18.35125,0.369575,0.016475,0.07976666533333333,0.868140005,0.54162498,0.7158650000000001,0.035410000250000004,0.1282324975,117.174,560.9617559,1.378930885,0.009112499999999999,15.195,0.46963499999999997,6.75,20.615000000000002
6,Auto Manufacturers,6.140000000000001,0.0,0.0783000015,0.0,-0.00896,-4.166885,0.0,-0.20216,-1.3502801,8.671999999999999,0.0,0.0,0.45384500499999997,-20.9785,0.1638,3.0,28.5
7,Banks—Regional,31.178042857142856,0.1958650005,0.012115000013499999,0.029406667,0.0,0.38765952285714295,0.2796966635714286,0.01078749999,0.10031749944999999,0.0,26.22972097368421,1.2448111978947367,0.16401400100000002,0.0,0.43407399700000016,3.923076923076923,37.57076923076923
8,Biotechnology,18.443305454545456,0.0,0.07113406597802199,0.0,0.024370270909090917,-83.94881739954546,-0.07552336683636364,-0.31138579891999996,-0.8711193817718749,19.8884606741573,442.68605796,5.221339890361445,0.1332743648041,-7.622309278350518,0.5000283613118182,6.09375,55.32541666666669
9,Broadcasting,23.3,0.0,0.1866,0.0,0.376765,0.17332999999999998,0.0431300002,0.05085,0.13719499999999998,216.7355,8.311469,1.5201536199999999,0.18953499,8.865,0.67983,12.0,51.8
10,Building Products & Equipment,42.61000000000001,1.8452333333333335,0.06166666566666667,0.010950000000000001,0.28440666333333336,0.17145333333333335,0.17385333333333333,0.09786666666666667,0.25605,52.871,69.2715665,6.3335596,0.1437933366666667,15.787666666666667,0.5771266666666667,3.0,54.25
11,Capital Markets,36.76,0.0,0.033849999,0.0,0.348054999,-8.06623,0.010484999,-0.069775,-0.03411997499999997,85.56400000000001,8.369748,7.323047,0.48450499999999996,0.6390000000000002,0.21722999985,2.0,63.0
12,Coking Coal,2.03,0.0,0.0438,0.0,0.0,-26.998611,0.0,-0.26493,0.0,251.83,0.0,0.0,0.2365,-9.466,0.07254,2.0,3.65
